algorithm,inputType,n,seed,timeSeconds,sorted
merge,reversed,1000,103,0.000118504,1
quick,reversed,1000,104,0.003455230,1
merge,reversed,1000,104,0.000118583,1
quick,reversed,1000,105,0.004018152,1
merge,reversed,1000,105,0.000191792,1
quick,reversed,2000,101,0.013951756,1
merge,reversed,2000,101,0.000288344,1
quick,reversed,2000,102,0.013791453,1
merge,reversed,2000,102,0.000241295,1
quick,reversed,2000,103,0.016994527,1
merge,reversed,2000,103,0.000312810,1
quick,reversed,2000,104,0.016313692,1
merge,reversed,2000,104,0.000363977,1
quick,reversed,2000,105,0.017615799,1
merge,reversed,2000,105,0.000354960,1
quick,reversed,5000,101,0.100038172,1
merge,reversed,5000,101,0.000773199,1
quick,reversed,5000,102,0.096642355,1
merge,reversed,5000,102,0.001012911,1
quick,reversed,5000,103,0.083097958,1
merge,reversed,5000,103,0.000684631,1
quick,reversed,5000,104,0.083538849,1
merge,reversed,5000,104,0.000733555,1
quick,reversed,5000,105,0.084676817,1
merge,reversed,5000,105,0.000658703,1
quick,reversed,10000,101,0.385931274,1
merge,reversed,10000,101,0.001486645,1
quick,reversed,10000,102,0.356471963,1
merge,reversed,10000,102,0.001388941,1
quick,reversed,10000,103,0.378751391,1
merge,reversed,10000,103,0.001349486,1
quick,reversed,10000,104,0.319051582,1
merge,reversed,10000,104,0.001355608,1
quick,reversed,10000,105,0.313502289,1
merge,reversed,10000,105,0.001396716,1
quick,reversed,20000,101,1.274742053,1
merge,reversed,20000,101,0.003306289,1
quick,reversed,20000,102,1.262351849,1
merge,reversed,20000,102,0.003028264,1
quick,reversed,20000,103,1.283078830,1
merge,reversed,20000,103,0.003466200,1
quick,reversed,20000,104,1.251966102,1
merge,reversed,20000,104,0.002979852,1
quick,reversed,20000,105,1.269795850,1
merge,reversed,20000,105,0.003069561,1
quick,reversed,50000,101,7.686873474,1
merge,reversed,50000,101,0.008139647,1
quick,reversed,50000,102,8.088691070,1
merge,reversed,50000,102,0.009038962,1
quick,reversed,50000,103,9.788442359,1
merge,reversed,50000,103,0.008564266,1
quick,reversed,50000,104,8.437721411,1
merge,reversed,50000,104,0.008205979,1
quick,reversed,50000,105,8.318780511,1
merge,reversed,50000,105,0.008961132,1
quick,reversed,100000,101,33.256582810,1
merge,reversed,100000,101,0.020832674,1
quick,reversed,100000,102,33.078813481,1
merge,reversed,100000,102,0.016882508,1
quick,reversed,100000,103,32.711494190,1
merge,reversed,100000,103,0.022679157,1
quick,reversed,100000,104,33.459187762,1
merge,reversed,100000,104,0.024386766,1
quick,reversed,100000,105,30.407386820,1
merge,reversed,100000,105,0.017195109,1
quick,repeated,1000,101,0.000292671,1
merge,repeated,1000,101,0.000410363,1
quick,repeated,1000,102,0.000297440,1
merge,repeated,1000,102,0.000403380,1
quick,repeated,1000,103,0.000336935,1
merge,repeated,1000,103,0.000459977,1
quick,repeated,1000,104,0.000303592,1
merge,repeated,1000,104,0.000411175,1
quick,repeated,1000,105,0.000302329,1
merge,repeated,1000,105,0.000400775,1
quick,repeated,2000,101,0.000853518,1
merge,repeated,2000,101,0.000949499,1
quick,repeated,2000,102,0.000678398,1
merge,repeated,2000,102,0.000888454,1
quick,repeated,2000,103,0.000629196,1
merge,repeated,2000,103,0.000892822,1
quick,repeated,2000,104,0.000697545,1
merge,repeated,2000,104,0.000865911,1
quick,repeated,2000,105,0.000620028,1
merge,repeated,2000,105,0.000864579,1
quick,repeated,5000,101,0.002123621,1
merge,repeated,5000,101,0.002157926,1
quick,repeated,5000,102,0.002234249,1
merge,repeated,5000,102,0.002176921,1
quick,repeated,5000,103,0.002025175,1
merge,repeated,5000,103,0.002169928,1
quick,repeated,5000,104,0.002098885,1
merge,repeated,5000,104,0.002283092,1
quick,repeated,5000,105,0.002117360,1
merge,repeated,5000,105,0.002214472,1
quick,repeated,10000,101,0.005479555,1
merge,repeated,10000,101,0.004462959,1
quick,repeated,10000,102,0.005425833,1
merge,repeated,10000,102,0.004488327,1
quick,repeated,10000,103,0.005515742,1
merge,repeated,10000,103,0.004491653,1
quick,repeated,10000,104,0.006050149,1
merge,repeated,10000,104,0.004480301,1
quick,repeated,10000,105,0.005546040,1
merge,repeated,10000,105,0.004767573,1
quick,repeated,20000,101,0.016942021,1
merge,repeated,20000,101,0.009860839,1
quick,repeated,20000,102,0.017215136,1
merge,repeated,20000,102,0.009800646,1
quick,repeated,20000,103,0.016861009,1
merge,repeated,20000,103,0.009244709,1
quick,repeated,20000,104,0.016721285,1
merge,repeated,20000,104,0.009728681,1
quick,repeated,20000,105,0.016312005,1
merge,repeated,20000,105,0.008982314,1
quick,repeated,50000,101,0.080758792,1
merge,repeated,50000,101,0.024613175,1
quick,repeated,50000,102,0.081710405,1
merge,repeated,50000,102,0.025541864,1
quick,repeated,50000,103,0.080024239,1
merge,repeated,50000,103,0.023363371,1
quick,repeated,50000,104,0.082250132,1
merge,repeated,50000,104,0.024268155,1
quick,repeated,50000,105,0.083000406,1
merge,repeated,50000,105,0.024693727,1
quick,repeated,100000,101,0.294472821,1
merge,repeated,100000,101,0.047490840,1
quick,repeated,100000,102,0.321721621,1
merge,repeated,100000,102,0.047014493,1
quick,repeated,100000,103,0.292732420,1
merge,repeated,100000,103,0.047518471,1
quick,repeated,100000,104,0.293341726,1
merge,repeated,100000,104,0.046629666,1
quick,repeated,100000,105,0.289565141,1
merge,repeated,100000,105,0.050104554,1
